Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-22T11:25:20.125316,10.0,-71.37209892272949,2,1
2025-05-22T11:25:20.395559,10.0,-71.64138317108154,2,2
2025-05-22T11:25:20.588723,10.0,-71.65931224822998,0,0
2025-05-22T11:25:20.859043,10.0,-72.40657329559326,0,1
2025-05-22T11:25:21.130685,10.0,-72.38076210021973,0,2
2025-05-22T11:25:21.324236,10.0,-72.90598392486572,1,0
2025-05-22T11:25:21.595084,10.0,-73.4417200088501,1,1
2025-05-22T11:25:21.866409,10.0,-73.54571342468262,1,2
2025-05-22T11:25:22.061342,10.0,-73.46685886383057,2,0
2025-05-22T11:25:22.333376,10.0,-73.47975254058838,2,1
2025-05-22T11:25:22.604431,10.0,-73.75202655792236,2,2
2025-05-22T11:25:22.798855,10.0,-73.76082420349121,0,0
2025-05-22T11:25:23.071186,10.0,-73.71932029724121,0,1
2025-05-22T11:25:23.341206,10.0,-73.83478164672852,0,2
2025-05-22T11:25:23.534767,10.0,-74.1640567779541,1,0
2025-05-22T11:25:23.806175,10.0,-74.27332878112793,1,1
2025-05-22T11:25:24.077571,10.0,-74.04763698577881,1,2
2025-05-22T11:25:24.271078,10.0,-74.33289527893066,2,0
2025-05-22T11:25:24.541713,10.0,-74.25553798675537,2,1
2025-05-22T11:25:24.812900,10.0,-74.32497978210449,2,2
2025-05-22T11:27:55.592280,10.0,-67.41482257843018,0,0
2025-05-22T11:27:55.864887,10.0,-68.64784240722656,0,1
2025-05-22T11:27:56.135637,10.0,-69.05651569366455,0,2
2025-05-22T11:27:56.329207,10.0,-69.71594333648682,1,0
2025-05-22T11:27:56.600518,10.0,-70.81744194030762,1,1
2025-05-22T11:27:56.870435,10.0,-70.52497863769531,1,2
2025-05-22T11:27:57.064124,10.0,-71.632399559021,2,0
2025-05-22T11:27:57.334385,10.0,-71.58568382263184,2,1
2025-05-22T11:27:57.605292,10.0,-71.33896827697754,2,2
2025-05-22T11:27:57.798555,10.0,-72.25638389587402,0,0
2025-05-22T11:27:58.069533,10.0,-72.66297817230225,0,1
2025-05-22T11:27:58.340393,10.0,-72.93091773986816,0,2
2025-05-22T11:27:58.532820,10.0,-72.92630672454834,1,0
2025-05-22T11:27:58.802869,10.0,-73.48737716674805,1,1
2025-05-22T11:27:59.073567,10.0,-73.56646060943604,1,2
2025-05-22T11:27:59.267086,10.0,-73.22943687438965,2,0
2025-05-22T11:27:59.537690,10.0,-73.7763786315918,2,1
2025-05-22T11:27:59.808478,10.0,-73.63665580749512,2,2
2025-05-22T11:28:00.002581,10.0,-74.1033124923706,0,0
2025-05-22T11:28:00.272239,10.0,-74.00357246398926,0,1
2025-05-22T11:28:00.542040,10.0,-74.1520643234253,0,2
2025-05-22T11:28:00.735976,10.0,-74.00002479553223,1,0
2025-05-22T11:28:01.007383,10.0,-74.05553817749023,1,1
2025-05-22T11:28:01.278358,10.0,-74.15151596069336,1,2
2025-05-22T11:28:01.472504,10.0,-74.32102680206299,2,0
2025-05-22T11:28:01.743318,10.0,-74.22674179077148,2,1
2025-05-22T11:28:02.014036,10.0,-74.19926166534424,2,2
2025-05-22T11:30:57.213158,10.0,-67.80940055847168,0,0
2025-05-22T11:30:57.484863,10.0,-68.42239379882812,0,1
2025-05-22T11:30:57.756344,10.0,-69.23449993133545,0,2
2025-05-22T11:30:57.950138,10.0,-69.7893762588501,1,0
2025-05-22T11:30:58.222789,10.0,-70.39896965026855,1,1
2025-05-22T11:30:58.493672,10.0,-70.992112159729,1,2
2025-05-22T11:30:58.687193,10.0,-70.0967025756836,2,0
2025-05-22T11:30:58.958314,10.0,-70.50159454345703,2,1
2025-05-22T11:30:59.230191,10.0,-72.05277919769287,2,2
2025-05-22T11:30:59.424246,10.0,-71.21148586273193,0,0
2025-05-22T11:30:59.695342,10.0,-72.26061820983887,0,1
2025-05-22T11:30:59.966096,10.0,-72.70694732666016,0,2
2025-05-22T11:31:00.159943,10.0,-73.35770606994629,1,0
2025-05-22T11:31:00.431511,10.0,-73.53553771972656,1,1
2025-05-22T11:31:00.701927,10.0,-73.60336303710938,1,2
2025-05-22T11:31:00.896375,10.0,-73.50629806518555,2,0
2025-05-22T11:31:01.167806,10.0,-73.6365795135498,2,1
2025-05-22T11:31:01.438454,10.0,-73.83498191833496,2,2
2025-05-22T11:31:01.631894,10.0,-73.934326171875,0,0
2025-05-22T11:31:01.901151,10.0,-74.21382904052734,0,1
2025-05-22T11:31:02.168901,10.0,-74.07979488372803,0,2
2025-05-22T11:31:02.363908,10.0,-74.17895317077637,1,0
2025-05-22T11:31:02.634563,10.0,-74.30493831634521,1,1
2025-05-22T11:31:02.906112,10.0,-74.26594734191895,1,2
2025-05-22T11:31:03.101443,10.0,-74.30009841918945,2,0
2025-05-22T11:31:03.371481,10.0,-74.2692756652832,2,1
2025-05-22T11:31:03.642438,10.0,-74.37193393707275,2,2
2025-05-22T11:31:53.258114,10.0,-67.30893135070801,0,0
2025-05-22T11:31:53.531015,10.0,-66.78200244903564,0,1
2025-05-22T11:31:53.802417,10.0,-67.19547271728516,0,2
2025-05-22T11:31:53.995503,10.0,-67.95697689056396,1,0
2025-05-22T11:31:54.266715,10.0,-68.68685722351074,1,1
2025-05-22T11:31:54.538466,10.0,-68.95443439483643,1,2
2025-05-22T11:31:54.732077,10.0,-69.10029888153076,2,0
2025-05-22T11:31:55.003649,10.0,-70.05368709564209,2,1
2025-05-22T11:31:55.275077,10.0,-70.35219192504883,2,2
2025-05-22T11:31:55.469771,10.0,-70.63734531402588,0,0
2025-05-22T11:31:55.741419,10.0,-70.7710599899292,0,1
2025-05-22T11:31:56.013298,10.0,-71.10337734222412,0,2
2025-05-22T11:31:56.208613,10.0,-71.26137733459473,1,0
2025-05-22T11:31:56.479747,10.0,-71.4523983001709,1,1
2025-05-22T11:31:56.751248,10.0,-71.86820030212402,1,2
2025-05-22T11:31:56.945971,10.0,-71.92544937133789,2,0
2025-05-22T11:31:57.217069,10.0,-72.3584794998169,2,1
2025-05-22T11:31:57.488435,10.0,-72.42465496063232,2,2
2025-05-22T11:31:57.682494,10.0,-72.31552124023438,0,0
2025-05-22T11:31:57.954106,10.0,-72.46191501617432,0,1
2025-05-22T11:31:58.225921,10.0,-72.58586406707764,0,2
2025-05-22T11:31:58.420902,10.0,-72.6387357711792,1,0
2025-05-22T11:31:58.693182,10.0,-72.62284278869629,1,1
2025-05-22T11:31:58.965533,10.0,-72.71109580993652,1,2
2025-05-22T11:31:59.159141,10.0,-72.81375885009766,2,0
2025-05-22T11:31:59.431147,10.0,-72.77931690216064,2,1
2025-05-22T11:31:59.703081,10.0,-72.8737735748291,2,2
2025-05-22T11:35:13.908583,10.0,-68.51846694946289,0,0
2025-05-22T11:35:14.181018,10.0,-67.70426750183105,0,1
2025-05-22T11:35:14.451642,10.0,-67.61950492858887,0,2
2025-05-22T11:35:14.645122,10.0,-68.53153228759766,1,0
2025-05-22T11:35:14.915980,10.0,-69.30389404296875,1,1
2025-05-22T11:35:15.187604,10.0,-69.4062089920044,1,2
2025-05-22T11:35:15.383077,10.0,-69.42641735076904,2,0
2025-05-22T11:35:15.654705,10.0,-70.4002857208252,2,1
2025-05-22T11:35:15.926117,10.0,-70.90714931488037,2,2
2025-05-22T11:35:16.119734,10.0,-71.24892711639404,0,0
2025-05-22T11:35:16.392047,10.0,-70.97692489624023,0,1
2025-05-22T11:35:16.663707,10.0,-71.26198768615723,0,2
2025-05-22T11:35:16.857821,10.0,-71.44399166107178,1,0
2025-05-22T11:35:17.129258,10.0,-71.83894634246826,1,1
2025-05-22T11:35:17.400095,10.0,-71.80947303771973,1,2
2025-05-22T11:35:17.594373,10.0,-71.82448387145996,2,0
2025-05-22T11:35:17.866001,10.0,-72.00207710266113,2,1
2025-05-22T11:35:18.137137,10.0,-72.16299057006836,2,2
2025-05-22T11:35:18.332055,10.0,-72.20841884613037,0,0
2025-05-22T11:35:18.602682,10.0,-72.26721286773682,0,1
2025-05-22T11:35:18.874101,10.0,-72.51053810119629,0,2
2025-05-22T11:35:19.067865,10.0,-72.41726398468018,1,0
2025-05-22T11:35:19.339592,10.0,-72.41160869598389,1,1
2025-05-22T11:35:19.609783,10.0,-72.53748893737793,1,2
2025-05-22T11:35:19.803315,10.0,-72.69840717315674,2,0
2025-05-22T11:35:20.075255,10.0,-72.59851932525635,2,1
2025-05-22T11:35:20.345909,10.0,-72.68200874328613,2,2
2025-05-22T11:35:53.843557,10.0,-68.83161544799805,0,0
2025-05-22T11:35:54.117165,10.0,-66.84354782104492,0,1
2025-05-22T11:35:54.390406,10.0,-67.48587131500244,0,2
2025-05-22T11:35:54.586429,10.0,-70.12272357940674,1,0
2025-05-22T11:35:54.856834,10.0,-68.51612091064453,1,1
2025-05-22T11:35:55.127908,10.0,-69.00202751159668,1,2
2025-05-22T11:35:55.323004,10.0,-69.50379371643066,2,0
2025-05-22T11:35:55.594085,10.0,-70.10502338409424,2,1
2025-05-22T11:35:55.864204,10.0,-70.17050266265869,2,2
2025-05-22T11:35:56.058356,10.0,-70.6884241104126,0,0
2025-05-22T11:35:56.329234,10.0,-70.80730438232422,0,1
2025-05-22T11:35:56.599461,10.0,-71.26656532287598,0,2
2025-05-22T11:35:56.793512,10.0,-71.3063097000122,1,0
2025-05-22T11:35:57.065406,10.0,-71.54163837432861,1,1
2025-05-22T11:35:57.335689,10.0,-71.73561573028564,1,2
2025-05-22T11:35:57.530774,10.0,-71.95504188537598,2,0
2025-05-22T11:35:57.801837,10.0,-72.20106601715088,2,1
2025-05-22T11:35:58.073386,10.0,-72.23757266998291,2,2
2025-05-22T11:35:58.266112,10.0,-72.32260704040527,0,0
2025-05-22T11:35:58.538196,10.0,-72.53241062164307,0,1
2025-05-22T11:35:58.808447,10.0,-72.52245426177979,0,2
2025-05-22T11:35:59.001626,10.0,-72.55186080932617,1,0
2025-05-22T11:35:59.271927,10.0,-72.52040386199951,1,1
2025-05-22T11:35:59.542513,10.0,-72.51645088195801,1,2
2025-05-22T11:35:59.735404,10.0,-72.61553287506104,2,0
2025-05-22T11:36:00.007164,10.0,-72.66060829162598,2,1
2025-05-22T11:36:00.278658,10.0,-72.69542217254639,2,2
2025-05-22T11:44:06.210669,10.0,-68.75572204589844,0,0
2025-05-22T11:44:06.482902,10.0,-68.44705104827881,0,1
2025-05-22T11:44:06.754017,10.0,-68.16286087036133,0,2
2025-05-22T11:44:06.948563,10.0,-68.16402435302734,1,0
2025-05-22T11:44:07.220145,10.0,-69.33281421661377,1,1
2025-05-22T11:44:07.491869,10.0,-68.9101791381836,1,2
2025-05-22T11:44:07.686502,10.0,-69.27289009094238,2,0
2025-05-22T11:44:07.957816,10.0,-69.93173122406006,2,1
2025-05-22T11:44:08.228539,10.0,-70.31778812408447,2,2
2025-05-22T11:44:08.423600,10.0,-71.12551212310791,0,0
2025-05-22T11:44:08.695103,10.0,-71.21356010437012,0,1
2025-05-22T11:44:08.967759,10.0,-71.14788055419922,0,2
2025-05-22T11:44:09.163135,10.0,-71.363525390625,1,0
2025-05-22T11:44:09.435979,10.0,-71.82732582092285,1,1
2025-05-22T11:44:09.708355,10.0,-71.54070377349854,1,2
2025-05-22T11:44:09.903227,10.0,-72.0201587677002,2,0
2025-05-22T11:44:10.174770,10.0,-72.17514514923096,2,1
2025-05-22T11:44:10.445183,10.0,-72.16478824615479,2,2
2025-05-22T11:44:10.639509,10.0,-72.33818054199219,0,0
2025-05-22T11:44:10.911173,10.0,-72.34010696411133,0,1
2025-05-22T11:44:11.182847,10.0,-72.45033740997314,0,2
2025-05-22T11:44:11.377226,10.0,-72.56586074829102,1,0
2025-05-22T11:44:11.648450,10.0,-72.58467197418213,1,1
2025-05-22T11:44:11.920345,10.0,-72.64612197875977,1,2
2025-05-22T11:44:12.114449,10.0,-72.53600597381592,2,0
